id,code,section,start_year,start_month,num_weeks,delivery_instructions,other_instructions
0,CSC108H1,F,2021,9,12,"<p>Each week will include 1-2 hours of online asynchronous videos and exercises, followed by 3 hours of synchronous online active learning class time. Students who miss an active learning session will be able to watch a recording of a similar session posted by the following day.&nbsp;</p><p>All assessments will be fully online. Students must write an online test during their scheduled lecture time on at least two dates during the term.&nbsp;&nbsp;</p><p>Students will need to be able to use videoconferencing tools, to watch videos hosted on MS Stream, and to install software on their own computer. Computers with limited capabilities, such as Chromebooks, or tablets like the iPad, are likely NOT sufficient.</p>","<p>If you’ve been accepted to the Computer Science (CMP1) admission stream and have guaranteed admission to a computer science program, you must enrol in CSC110Y and CSC111H. You may not enrol in CSC108H, CSC148H, or CSC165H. If you are unable to enrol in the appropriate set of courses, please contact cs.undergrad@utoronto.ca.</p>"
1,CSC110Y1,F,2021,9,12,"<p><strong>All graded assessments, regardless of section, will be completed online.</strong> Students in all sections must be able to complete online assessments during synchronous lecture or tutorial time up to 4 times through the term.&nbsp;</p><p>Students will need to install software on their own computer; computers with limited capabilities, such as Chromebooks, or tablets like the iPad, are NOT sufficient. Students enrolled in an online lecture or tutorial will need to be able to use videoconferencing tools.&nbsp;</p>","<p>If you’ve been accepted to the Computer Science (CMP1) admission stream and have guaranteed admission to a computer science program, you must enrol in CSC110Y and CSC111H. You may not enrol in CSC108H, CSC148H, or CSC165H. If you are unable to enrol in the appropriate set of courses, please contact cs.undergrad@utoronto.ca.</p>"
2,CSC111H1,S,2021,9,12,,"<p>If you’ve been accepted to the Computer Science (CMP1) admission stream and have guaranteed admission to a computer science program, you must enrol in CSC110Y and CSC111H. You may not enrol in CSC108H, CSC148H, or CSC165H. If you are unable to enrol in the appropriate set of courses, please contact cs.undergrad@utoronto.ca.</p>"
3,CSC148H1,S,2021,9,12,,"<p>If you’ve been accepted to the Computer Science (CMP1) admission stream and have guaranteed admission to a computer science program, you must enrol in CSC110Y and CSC111H. You may not enrol in CSC108H, CSC148H, or CSC165H. If you are unable to enrol in the appropriate set of courses, please contact cs.undergrad@utoronto.ca.</p>"
4,CSC165H1,S,2021,9,12,,"<p>If you’ve been accepted to the Computer Science (CMP1) admission stream and have guaranteed admission to a computer science program, you must enrol in CSC110Y and CSC111H. You may not enrol in CSC108H, CSC148H, or CSC165H. If you are unable to enrol in the appropriate set of courses, please contact cs.undergrad@utoronto.ca.</p>"
5,CSC196H1,F,2021,9,12,,
6,CSC197H1,F,2021,9,12,,
7,CSC199H1,S,2021,9,12,,
8,CSC207H1,F,2021,9,12,<p>All meeting sections will require on-campus attendance at a specific time and location for tests and exams.</p>,<p>CSC207H1F LEC0501 and TUT0501 are reserved for students in the Technology Leadership Initiative.</p>
9,CSC209H1,S,2021,9,12,,
10,CSC236H1,F,2021,9,12,,
11,CSC240H1,S,2021,9,12,,
12,CSC258H1,F,2021,9,12,,
13,CSC263H1,F,2021,9,12,,
14,CSC265H1,F,2021,9,12,,
15,CSC299Y1,Y,2021,9,24,,
16,CSC300H1,F,2021,9,12,"<p>Students in LEC0101 must enrol in TUT5101, TUT5102, TUT5103, or TUT5104</p><p>Students in LEC5101/2501 must enrol in TUT5201, TUT5202, TUT5203, or TUT5204.</p>",
17,CSC301H1,F,2021,9,12,,
